Question,A,B,C,D,Answer,Image,Category
What does this sign mean?,All types of trucks are prohibited from entering the zone where the sign is installed,Trucks are allowed in the zone where the sign is installed,No cars are allowed in the zone where the sign is installed,All types of cars are allowed in the zone where the sign is installed,A,15-4427.jpg,"Traffic Signs and Signals"
What does this sign mean?,No trucks are allowed,No motorcycles are allowed,No cars are allowed,All types of cars are allowed,B,16-2df1.jpg,"Traffic Signs and Signals"
What does this sign mean?,No cars are allowed in the zone where the sign is installed,Cars are not allowed to park but can stop for pick-up/drop-off in the zone where the sign is installed,All types of cars are allowed in the zone where the sign is installed,No motorcycles and cars are allowed to enter or exit,D,25-f834.jpg,"Traffic Signs and Signals"
What is this sign?,No parking,No stopping,No honking,Honking allowed,C,27-fb5e.jpg,"Traffic Signs and Signals"
What is this sign?,Stop,No parking for all types of vehicles,Overtaking allowed,Give way,B,28-1f7c.jpg,"Traffic Signs and Signals"
What is this sign?,Cart parking,Bicycle parking,Motorcycle parking,No stopping or parking for all types of vehicles,D,29-0ee5.jpg,"Traffic Signs and Signals"
What does this sign mean?,No pedestrian crossing,Pedestrian crossing,Pedestrian crossing area,Pedestrians only,D,52-9c3f.jpg,"Traffic Signs and Signals"
What does this sign mean?,Maximum weight not exceeding 50 kg,No noise exceeding 50 decibels A,Speed limit in kilometers per hour as indicated on the sign,Speed limit over 50 km/h,C,31-821a.jpg,"Traffic Signs and Signals"
What does this sign mean?,No vehicles wider than the limit,No vehicles longer than the limit,No trucks exceeding the weight limit in tons as indicated on the sign,Speed limit,C,32-464e.jpg,"Traffic Signs and Signals"
What is this sign?,Motorcycle lane,Bus lane,Bicycle lane,Pedestrians only,A,50-2e95.jpg,"Traffic Signs and Signals"
What does this sign mean?,Give way to vehicles or pedestrians crossing ahead,No U-turn to the left,No U-turn to the right,U-turn to the right allowed,A,02-e0bd.jpg,"Traffic Signs and Signals"
What is this sign?,Left turn allowed,No right turn,End of restriction,Speed limit,C,54-1a59.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",No cars allowed,Stop at the sign and let oncoming traffic pass first,Slow down and steer left,Slow down and steer right,B,03-d7bb.jpg,"Traffic Signs and Signals"
What does this sign mean?,No straight ahead,"Must drive straight as indicated by the sign, one-way only",No entry,Turn left,B,36-13f1.jpg,"Traffic Signs and Signals"
What does this sign mean?,The road ahead is one-way left only,Only go to the right,No right turn,Turn right only,A,37-4ccf.jpg,"Traffic Signs and Signals"
What does this sign mean?,Drive straight only,Drive left only,No right turn,The driver must pass to the right of the sign,B,38-b6d1.jpg,"Traffic Signs and Signals"
What does this sign mean?,Turn left,Turn right,Keep left,The driver must pass to the right of the sign,C,39-df20.jpg,"Traffic Signs and Signals"
What does this sign mean?,The driver must pass to the right of the sign,Keep right,Turn left,Turn right,B,40-d7d3.jpg,"Traffic Signs and Signals"
What is this sign?,No left or right turn,Keep left or right,Keep right only,Keep left only,B,41-712d.jpg,"Traffic Signs and Signals"
What is this sign?,No left turn,No right turn,Left turn allowed,Right turn allowed,C,42-4435.jpg,"Traffic Signs and Signals"
What is this sign?,No left turn,No right turn,Left turn allowed,Right turn allowed,D,43-727f.jpg,"Traffic Signs and Signals"
What is this sign?,Left or right turn allowed,No left or right turn,No straight or left turn,No straight or right turn,A,44-a385.jpg,"Traffic Signs and Signals"
What is this sign?,Go straight but no left turn,No straight or left turn,Go straight or left turn,No straight or right turn,C,45-c280.jpg,"Traffic Signs and Signals"
What is this sign?,Go straight or right turn,No straight or left turn,No straight or right turn,Go straight or left turn,A,46-013e.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Drive in the left lane only,All vehicles must drive around the right of the roundabout,Cut in front of other vehicles in the roundabout,All drivers must drive around the left of the roundabout and give way to vehicles in the roundabout,D,47-6b9a.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Enter the car and motorcycle lane,Do not overtake into the bus lane,Drive straight or turn right,No straight or right turn,B,48-672e.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Cars with at least 3 passengers may use this lane,Cars with 1 passenger may use this lane,No cars with more than 3 passengers may use this lane,Cars with 2 passengers may use this lane,A,49-e80a.jpg,"Traffic Signs and Signals"
What does this sign mean?,The road ahead curves to the right,The road ahead has a sharp right turn,The road ahead curves to the left,The road ahead has a narrow left curve,A,02-aa28.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and be cautious, the road ahead is winding starting with a right turn","Drive slower and stay to the right, follow the winding road starting with a left turn","Drive slower and stay to the left, follow the sharp right turn","Drive slower and stay to the right, follow the sharp left turn",A,09-25b2.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Drive slower and be cautious of workers on the road,Drive slower and be cautious of surveyors,Drive slower and be cautious of working machinery,Drive slower and be cautious of construction surveyors,A,1-5-11-1858.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and be cautious, there is a survey on the road ahead",Drive quickly and be cautious of workers,Drive quickly and be cautious of machinery,Drive slower and be cautious of construction surveyors,A,1-5-12-21ad.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive quickly and be cautious, there is a narrow bridge ahead","Drive slower and be cautious, there is a steep descent ahead","Drive quickly and be cautious, there is a steep ascent ahead","Drive slower and be cautious, use the left detour",D,1-5-14-590b.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and be cautious, there is a steep ascent ahead","Drive slower and be cautious, use the right detour","Drive quickly and be cautious, there is a steep descent ahead","Drive slower and be cautious, there is a narrow bridge ahead",B,1-5-15-b6f5.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower, no changes required, keep to the right","Drive slower, no changes required, keep to the left","Drive slower, no changes required, no overtaking",Drive slower,D,60-4e76.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower, there is a left curve ahead",Drive slower and be cautious,"Drive slower, there is a narrow left curve ahead","Drive slower, there is a right curve ahead",C,03-c758.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Drive quickly to maintain control in the curve,"Drive slower, there is a left curve ahead",Drive slower and stay to the left with caution,"Drive slower, there is a narrow right curve ahead",D,04-cc9b.jpg,"Traffic Signs and Signals"
What is this sign?,Alternate,Sharp left turn,Sharp right turn,Left curve,A,61-e480.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and be cautious, there is a secondary road merging from the left","Drive with caution, the main road intersects with a T-junction","Drive with caution, the main road intersects with a T-junction","Drive with caution, the main road intersects with a Y-junction",A,14-4c22.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and be cautious, there is a secondary road merging from the right","Drive with caution, the main road intersects with the main road on the right","Drive with caution, the secondary road intersects with the secondary road on the right","Drive with caution, the main road intersects with the main road on the left",A,15-4a3c.jpg,"Traffic Signs and Signals"
What does this sign mean?,Main road intersects in a Y-junction,Main road intersects in a T-junction,Main road intersects with a minor road in a Y-junction,"Minor road intersects with the main road at an angle, starting from the left",D,16-7964.jpg,"Traffic Signs and Signals"
What does this sign mean?,"Minor road intersects with the main road at an angle, starting from the right",Main road intersects in a Y-junction,Main road intersects in a T-junction,Main road intersects with a minor road in a Y-junction,A,17-c4a3.jpg,"Traffic Signs and Signals"
What does this sign mean?,Main road intersects with a minor road in a T-junction,Main road intersects in a Y-junction,Minor road connects to the main road from the left,Main road intersects in a T-junction,C,18-ce2d.jpg,"Traffic Signs and Signals"
What does this sign mean?,Minor road connects to the main road from the right,Minor road connects to the main road from the left,Minor road connects to another minor road from the left,Main road connects to another main road from the left,A,19-5256.jpg,"Traffic Signs and Signals"
What does this sign mean?,Main road separates from another main road to the left in a Y-junction,Minor road separates from the main road to the left in a Y-junction,Minor road separates from another minor road to the left in a Y-junction,Minor road separates from the main road to the right in a Y-junction,B,20-adf6.jpg,"Traffic Signs and Signals"
What does this sign mean?,Minor road separates from the main road to the left in a Y-junction,Main road separates from another main road to the left in a Y-junction,Minor road separates from the main road to the right in a Y-junction,Minor road separates from another minor road to the left in a Y-junction,B,21-7c0a.jpg,"Traffic Signs and Signals"
What does this sign mean?,There is a roundabout ahead,There is an intersection ahead,The road ahead narrows,The main road intersects ahead,A,22-9728.jpg,"Traffic Signs and Signals"
What does this sign mean?,The road narrows on the right,Left curve ahead,The road narrows on the left,The road ahead narrows on both sides,D,23-38d2.jpg,"Traffic Signs and Signals"
What does this sign mean?,The road narrows on both sides,The road narrows on the right,The road narrows on the left,The road widens on both sides,C,24-601b.jpg,"Traffic Signs and Signals"
What does this sign mean?,The road narrows on the right,The road narrows on both sides,The road narrows on the left,The road widens on both sides,A,25-f2a0.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Drive slower and be cautious of oncoming traffic on the other side of the bridge,"Drive slower and be cautious, the road ahead narrows","Drive slower and be cautious, the lanes ahead reduce","Drive slower and be cautious, the road narrows on the left",A,26-b981.jpg,"Traffic Signs and Signals"
What does this sign mean?,Left lane closed,Right lane closed,Both lanes closed,Left lane reduces,A,27-feb4.jpg,"Traffic Signs and Signals"
What does this sign mean?,Right lane closed,Both lanes closed,Left lane reduces,Left lane closed,A,28-f315.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Drive at normal speed but be cautious of passing trains,"Drive slower and watch for trains from both sides, if a train is approaching, stop at least 5 meters from the tracks",Drive quickly because a train is passing,Drive quickly because there are no obstacles,B,29-1393.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and be ready to stop, no barriers ahead","Drive slower and be ready to stop, narrow bridge ahead","Drive quickly, no need to stop, no barriers at the railway crossing",Drive slower and be ready to stop,D,30-906b.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and be cautious, vehicles wider than 2.50 meters are allowed","Drive slower and be cautious, the road ahead is wider than 2.50 meters","Drive slower and be cautious, the road ahead is lower than 2.50 meters","Drive slower and be cautious, the road ahead is higher than 2.50 meters",A,32-1f96.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and be cautious, the road narrows to no more than 2.50 meters","Drive slower and be cautious, the road widens to more than 2.50 meters","Drive slower and be cautious, the road height is more than 2.50 meters","Drive slower and be cautious, vehicles no taller than 2.50 meters are allowed",D,33-c6d7.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and be cautious of oncoming traffic, the road ahead is a steep uphill climb","Drive slower and be cautious, drive quickly because there are falling rocks","Drive slower and be cautious, shift to neutral or turn off the engine for safety","Drive slower and be cautious, use a low gear for the steep descent",A,34-24bd.jpg,"Traffic Signs and Signals"
What is this sign?,Shift to neutral or turn off the engine for safety,Steep descent,"Steep ascent, use low gear",Drive quickly,B,35-7611.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and be cautious, the road ahead is very rough and full of potholes",Drive slower and be cautious of falling rocks,"Drive slower and be cautious, the road surface is loose","Drive slower and be cautious, the road is slippery",A,37-35fa.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Drive slower and be cautious of bumps,Drive slower and be cautious of a dip,Drive slower and be cautious of a downhill slope,Drive slower and be cautious of an uphill slope,B,38-bb81.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Drive much slower and be extra cautious of loose road surface,Drive much slower and be extra cautious of a narrow right lane,Drive slower and be cautious of slippery conditions ahead,Drive much slower and be extra cautious of a curve ahead,C,39-af07.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Drive slower and be cautious of loose surface material,Drive slower and be cautious of falling rocks,Drive slower and be cautious of slippery road,Drive slower and be cautious of winding road,A,40-1cd3.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and be extra cautious of falling rocks on the road, obstructing traffic",Drive slower and be extra cautious of an uphill slope,Drive slower and be extra cautious of a downhill slope,Drive slower and be extra cautious of a narrow road,A,41-67d5.jpg,"Traffic Signs and Signals"
What is this sign?,Rough road,Drawbridge,Bumps ahead,Dip ahead,B,42-4cbc.jpg,"Traffic Signs and Signals"
What does this sign mean?,No exit to service road,Change lanes as indicated by the sign,Do not change lanes,Exit to service road,B,43-4170.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Drivers on the main road should be cautious and prepare to exit the main road,Drivers on the main road should be cautious and prepare to exit to a left curve,Drivers on the main road should be cautious and prepare to exit to a right curve,Drivers on the service road should prepare to enter the main road,D,45-7a15.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drivers on the main road should prepare to exit to the service road, and drivers on the service road should be cautious of merging traffic",Drivers on the main road should prepare to enter a left curve,Drivers on the main road should prepare to exit to a left curve,Drivers on the main road should prepare to exit to a right curve,A,44-a38a.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive to the left cautiously, narrow left lane ahead","Drive to the left cautiously, narrow right lane ahead","Drive to the left cautiously, downhill slope ahead",Drive to the left cautiously,D,47-451b.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and keep left, be cautious of a right intersection","Drive slower and keep left, be cautious of an unmarked intersection ahead","Drive slower and keep left, be cautious of a dual carriageway ahead","Drive slower and keep left, be cautious of a left intersection",B,48-a909.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower, keep left and be cautious of oncoming traffic","Drive slower and keep left, one-way road ahead","Drive slower and keep left, one-way left road ahead","Drive slower and keep left, one-way right road ahead",A,50-f27b.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Drive slower and be prepared to follow traffic signals,Drive slower and be prepared to enter a two-way road,Drive slower and be prepared to make a U-turn ahead,Drive slower and be prepared to enter a one-way road ahead,A,51-e05e.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Be prepared to turn left,"Drive slower and be cautious of pedestrians, pedestrian crossing ahead",Be prepared to stop,Be prepared to give way,B,52-fbd2.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Drive slower and be prepared to enter a two-way road,Drive slower and be prepared to give way to the vehicle ahead when reaching the give way sign,Drive slower and be prepared to enter a one-way road,Drive slower and be prepared to make a U-turn ahead,B,53-0f5a.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower, people working ahead","Drive slower, be cautious of pedestrians, community area ahead","Drive slower, school zone ahead, many children","Drive slower, school children ahead",B,54-c171.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower, be cautious of thieves","Drive slower, be cautious of danger","Drive slower, be cautious of school children","Drive slower, be cautious of pedestrians",C,55-1230.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Drive slower and be cautious of pedestrians,Drive slower and be cautious of animals crossing,Drive slower and be cautious of school children,Drive slower and be cautious of danger,B,56-5ad2.jpg,"Traffic Signs and Signals"
What is this sign?,"Caution, pedestrians crossing","Caution, school children","Caution, danger","Caution, low-flying aircraft",D,57-5dd0.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive slower and be cautious, the road ahead may be dangerous, such as accidents or landslides",Drive slower and be extra cautious of school children,Drive slower and be cautious of animals,Drive slower and be extra cautious of pedestrians,A,58-9f7a.jpg,"Traffic Signs and Signals"
What does this sign mean?,No overtaking zone,Overtaking allowed zone,Give way zone,Stop zone,A,59-4c68.jpg,"Traffic Signs and Signals"
What is this sign?,U-turn area,No U-turn area,No overtaking area,Start of expressway (highway),D,a-15-699d.png,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","U-turn ahead, can make a U-turn where the sign is posted",No U-turn,U-turn allowed for cars only,Turn left,A,a-01-0494.png,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",U-turn area,"Drive slower and be cautious of pedestrians, stop if pedestrians are crossing",No pedestrian crossing,Area for disabled persons,B,a-04-4274.png,"Traffic Signs and Signals"
"When entering a roundabout without traffic lights, what should you do?",Give way to the car on your right already in the roundabout,Give way to the car on your left already in the roundabout,Give way to the car entering the roundabout and turning left,Give way to the car entering the roundabout and going straight,A,,"Etiquette and Awareness"
"When turning at an intersection with more than two lanes, which is correct?",Change lanes to the left or right while in the turn,Drive across lanes to widen the turn,Stay in the same lane from the start of the turn to its completion,Drive in the leftmost lane and change to the right lane while turning,C,,"Etiquette and Awareness"
"When driving past an alley with many cars waiting to exit, what should you do?",Honk or flash lights to warn cars exiting the alley before passing,Alternate allowing cars to exit the alley with straight traffic,Drive closely to the car in front to prevent alley cars from merging,Drive quickly past the alley to signal you are going first,B,,"Etiquette and Awareness"
What is a safe driving attitude and awareness for drivers?,Drive slowly and patiently,Drive skillfully and swiftly,"Drive with awareness and strictly follow traffic rules, showing courtesy and kindness",Drive well and avoid accidents,C,,"Etiquette and Awareness"
What should drivers not do when the green light signals to proceed?,"Slowly start driving, keeping a reasonable distance from the car ahead",Allow motorcycles or cars in front to move first,Check for cars from other intersections before entering the intersection,Honk to urge the car ahead to move quickly,D,,"Etiquette and Awareness"
What should drivers do when the yellow light is on?,Slow down and stop at the white stop line to avoid running a red light,Honk to urge the car ahead to speed up to avoid the red light,Change lanes to overtake and avoid the red light,Follow the car ahead through the red light,A,,"Etiquette and Awareness"
What should drivers do when seeing someone standing on the sidewalk appearing to cross at a crosswalk?,Honk to warn the pedestrian and speed up to pass,Tap the brake to warn cars behind and stop at the crosswalk,Drive closely behind the car ahead without stopping for pedestrians,Overtake the stopped car letting pedestrians cross and drive past quickly,B,,"Etiquette and Awareness"
What is the correct use of signal lights when entering an intersection?,Use hazard lights when going straight,Only signal when turning right,Signal every time when turning left or right,No need to signal when following a car signaling the same direction,C,,"Etiquette and Awareness"
Who should wear seat belts while in a car for safety?,"Driver and all passengers, both adults and children, in the front and back seats",Driver and front seat passengers only,Driver and passengers over 12 years old who can wear seat belts,Driver and passengers except elderly and children under 12 years old,A,,"Etiquette and Awareness"
What should drivers do to safely and politely overtake?,"Honk to signal before overtaking, speed up to overtake on the left or right throughout the route","Signal before overtaking, speed up, overtake, then quickly return to the lane, reducing speed to match the overtaken car","Honk to signal before overtaking, speed up, overtake, then drive parallel to the overtaken car for a while","Signal before overtaking, speed up, overtake, leave a gap, then signal to return to the lane and adjust speed to match the car ahead",D,,"Etiquette and Awareness"
What should you do when another driver signals to merge into your lane?,"Signal back by slowing down, leaving space for them to merge safely",Honk to warn and drive closely to the car ahead to block merging,Drive closely to the car ahead and try to block the merging car,"Speed up intermittently, leaving no space for merging",A,,"Etiquette and Awareness"
What should you do when driving in the rightmost lane and a faster car approaches from behind?,Signal left and change to the left lane to let the faster car overtake safely,Speed up to distance yourself from the car behind,Maintain your speed and let the car behind change to the left lane,"Signal left, change to the left lane, then speed up to compete with the right lane car",A,,"Etiquette and Awareness"
What should you do when another driver gives way for you to go first or merge?,Speed up and cut across to the next lane as well,"Nod or raise your hand to thank, then proceed or merge quickly","Nod to thank, then proceed or merge with caution","Drive out or merge slowly, trying to cut across to the next lane",C,,"Etiquette and Awareness"
What behavior is rude and may cause accidents?,Maintain a proper distance from the car ahead,Tailgate the slow car ahead while honking,Honk to warn a reversing car about to hit your parked car at a red light,Turn on fog lights during heavy rain,B,,"Etiquette and Awareness"
What is the correct and polite use of high beams?,"Use high beams to check the road and roadside only on dark roads with no cars ahead or oncoming, and turn them off when a car appears",Use high beams instead of low beams on unlit country roads where you can see the taillights of the car ahead,Use high beams every time when entering a dark curve with cars ahead or oncoming,Use high beams every time on hilly or downhill roads without streetlights and can see oncoming headlights,A,,"Etiquette and Awareness"
What is courteous and considerate driving behavior?,Cutting in line at a bridge or before entering an alley,Driving on the shoulder to cut in front of normal traffic lanes,"U-turning on a road with opposing lanes, obstructing traffic","Not stopping on yellow diagonal lines or at alley entrances, allowing other vehicles to pass while your car is stuck in traffic",D,,"Etiquette and Awareness"
What is the correct and polite driving behavior?,Parking in a disabled spot when not disabled,Intending to go straight but driving in a turn or U-turn lane,U-turning at designated U-turn spots even if far away,Blocking another car by parking with the gear in and handbrake on,C,,"Etiquette and Awareness"
What should drivers do when entering a congested community area?,Honk to urge the car ahead and warn pedestrians to clear the way,"Drive slowly and cautiously, using the horn only when necessary to warn pedestrians or other cars","Squeeze past parked cars or pedestrians, crossing into oncoming traffic lanes",Drive against traffic to avoid congestion,B,,"Etiquette and Awareness"
What should you do when you see someone about to cross the road ahead?,Try to drive past quickly,Honk loudly and drive past quickly,Slow down and stop safely to let the pedestrian cross,Brake abruptly to let the pedestrian cross,C,,"Etiquette and Awareness"
What should you do when another driver is making a U-turn into your lane?,Be kind and give way to the U-turning car,"Get annoyed, honk, but stop to let them go",Speed up to block the U-turn,Dodge into another lane to pass,A,,"Etiquette and Awareness"
"In night driving, how should you use your headlights?",Always use high beams while driving,Turn on both headlights and fog lights,"Turn on headlights, fog lights, and hazard lights",Use low beams when there are cars ahead and oncoming traffic,D,,"Etiquette and Awareness"
"When driving through curves, intersections, and junctions at night, what is the appropriate way to use your headlights?","Slow down before the intersection, flash lights, and turn on hazard lights",Flash lights before entering the curve and switch to low beams when there is oncoming traffic,Slow down before turning on high beams,Slow down before turning on low beams,B,,"Etiquette and Awareness"
"When driving through communities, schools, or crowded places, what should you do?","Slow down, honk loudly, and drive carefully",Slow down and drive carefully,Honk and slow down,Honk and speed up to pass quickly,B,,"Etiquette and Awareness"
"If you observe public transport, trucks, or other vehicles being driven recklessly, what should you do?",Turn on hazard lights to warn cars behind,Overtake quickly to get away,Follow and honk to stop the behavior,Slow down to keep a safe distance and notify the police immediately,D,,"Etiquette and Awareness"
What is considered extremely rude driving behavior?,Maintain normal speed when another car flashes lights requesting to pass,Drive on the left or give way to emergency vehicles,Tailgate and honk at cars on the expressway,Slow down to allow other cars to overtake,C,,"Etiquette and Awareness"
What is considered irresponsible driving behavior?,"Driving while tired, sleepy, or after drinking alcohol",Slow down and drive carefully near schools with many students,Stop to rest immediately when feeling tired or sleepy,None of the above,A,,"Etiquette and Awareness"
How should a driver behave to ensure safe driving?,Talk and joke with a girlfriend while driving,Use a mobile phone while driving,"Drink alcohol, stay out late, and wake up early to drive","Be cautious, disciplined, and respectful of traffic laws",D,,"Etiquette and Awareness"
What is the correct and appropriate way to drive on the expressway?,Drive slowly in the right lane,Drive fast in the right lane,Do not exceed the legal speed limit,Do not overtake on the left,C,,"Etiquette and Awareness"
What is the most correct practice?,Drive with a valid license and follow traffic rules,Study and learn traffic rules,Study traffic rules both domestically and internationally,Pay attention during driver training courses,A,,"Etiquette and Awareness"
What is the correct practice?,Occasionally check the car,"Never inspect, maintain, or service the car",Inspect the car once a year,Check the car according to the owner's manual,D,,"Etiquette and Awareness"
What indicates a conscientious driver?,Prepare both the car and oneself before traveling,Regularly inspect and maintain the car,Drive fast to reach the destination quickly and on time,Drive slowly in the right lane throughout the route,A,,"Etiquette and Awareness"
How should you drive during heavy rain?,Drive slowly and turn on high beams,"Reduce speed, drive carefully, turn on headlights and wipers",Drive carefully and turn on headlights and fog lights,Stop on the road and wait for the rain to stop before continuing,B,,"Etiquette and Awareness"
"How should you drive on uphill, downhill, and dangerous curves?",Press the brake continuously when going downhill and use high gear,Increase speed to go uphill and downhill,Use the appropriate speed and gear,"Use high gear when going uphill, downhill, and through curves",C,,"Etiquette and Awareness"
How should you prepare for a long-distance road trip?,Study the route and get enough sleep,Study the route and read travel guides late into the night,Overfill the engine oil in case of leaks,Reduce tire pressure for better road grip,A,,"Etiquette and Awareness"
What should you do if a car tailgates and honks at you in the rightmost lane while the left lane is clear?,"Overtake first, then tailgate the car",Speed up to prevent overtaking,Move carefully to the left lane,Flash the left signal as a sign to overtake on the left,C,,"Etiquette and Awareness"
What should you do if the car in front uses the shoulder and other cars follow during a traffic jam?,Stay in the current lane,Flash the left signal and follow immediately,Signal and overtake on the left carefully,Signal and overtake on the right into oncoming traffic,A,,"Etiquette and Awareness"
What is the proper behavior on the road?,Tailgate large trucks to prevent oncoming cars from crashing,Raise your hand to block the sun when driving,Drive against traffic to save fuel,Drive within the speed limit and overtake only when necessary,D,,"Etiquette and Awareness"
What should you do if a faster car flashes high beams from behind on the highway?,Continue driving normally as you are following the law,Move to the left or middle lane by signaling left and changing lanes slowly,"Slow down to block the car behind, making it follow the speed limit",Speed up to stay ahead of the flashing car,B,,"Etiquette and Awareness"
What should you avoid to reach your destination safely?,Rush to arrive before dark,Familiarize yourself with the car if it's new to you,Get enough rest and avoid alcohol,Be responsible in your driving,A,,"Etiquette and Awareness"
What is not an appropriate response when someone shows you kindness on the road?,Smile to show appreciation,Nod to show appreciation,Raise your right hand to eyebrow level to show appreciation,Flash high beams to show appreciation,D,,"Etiquette and Awareness"
"In case you violate traffic laws or cause inconvenience to others and the other driver confronts you, what should you do?",Request a legal process to determine who is right or wrong,Stop the car and ask what inconvenience was caused,Raise your right hand to eyebrow level and bow to apologize,Drive away quickly,C,,"Etiquette and Awareness"
Which action demonstrates road safety awareness by avoiding risky behaviors and unsafe actions?,Strictly follow traffic rules without needing traffic police enforcement,Modify vehicle parts and systems from factory condition,"At intersections, always go first if you are on the main road",Turn on hazard lights when parking in a no-parking zone,A,,"Etiquette and Awareness"
What is the incorrect way to alert drivers behind you that you need to slow down or stop due to an accident ahead?,Assess the situation in front and behind to brake appropriately,Drive close to the accident and brake hard to stop immediately,Tap the brake pedal 1-2 times to signal braking,Hold the brake pedal to keep the brake lights on until the car behind stops,B,,"Etiquette and Awareness"
Which behavior is not courteous when overtaking or changing lanes?,Cut in sharply after overtaking,Signal right before overtaking to alert the car in front,Do not overtake in tight or prohibited areas,Drive slowly and overtake carefully on narrow roads,A,,"Etiquette and Awareness"
What is the polite way to signal acceptance when a car behind requests to overtake?,Turn on hazard lights,Honk the horn,Signal left,Flash high beams,C,,"Etiquette and Awareness"
Which behavior shows road safety awareness?,Slow down at intersections regardless of traffic lights,Follow traffic signals or signs to avoid fines,Change lanes without signaling to prevent other cars from blocking,Only follow traffic lights at intersections without checking left or right,A,,"Etiquette and Awareness"
What is the correct action when you see a pedestrian crossing without a crosswalk?,Drive normally as crossing safely should be at a crosswalk,Flash high beams to warn not to cross and drive quickly,Honk repeatedly to warn not to cross,Slow down and stop to let them cross,D,,"Etiquette and Awareness"
"After surviving an accident, which reflects road safety awareness?",Mr. D said he survived because he had just performed a ritual,Mr. A said his amulet protected him,Ms. B said a fortune teller predicted a good year,Ms. C said she always studies safe driving principles,D,,"Etiquette and Awareness"
Which courteous behavior ensures road safety?,"When turning, stay in your lane until it's safe to change","If driving at the legal speed limit in the right lane and a car tails you, don't give way","At intersections, the faster car always goes first",Fog lights are for decoration and can be used without fog,A,,"Etiquette and Awareness"
When should a driver use the horn?,To chase pedestrians off a crosswalk,To urge the car in front to drive faster,To prevent potential danger or accidents,To greet other drivers they know,C,,"Etiquette and Awareness"
What should drivers avoid doing when driving in the rain?,Turning on hazard lights along the route,Turning on windshield wipers,Increasing caution,Slowing down,A,,"Safe Driving Techniques"
What should be done when a car breaks down?,Leave the car in the middle of the road,Place branches behind the car,Burn the roadside if at night,"Park on the side of the road, turn on hazard lights",D,,"Safe Driving Techniques"
Which dashboard warning light color should not appear while driving?,Red,Green,Yellow,Blue,A,,"Safe Driving Techniques"
How should fingers be positioned on the steering wheel?,"All five fingers gripping the wheel firmly, allowing smooth rotation",All five fingers gripping the wheel as tightly as possible,"All five fingers lightly touching the wheel, steering with one hand",Holding the wheel with only the thumb and index finger,A,,"Safe Driving Techniques"
"What should a driver do when losing control on a wet, slippery road?",Immediately brake and then gradually accelerate again,Release the accelerator and brake to use a lower gear,"Release the accelerator, hold the steering wheel firmly, and continue driving","Stay calm, hold the steering wheel well, and speed up to escape",C,,"Safe Driving Techniques"
